pais, ano, krause, valor, moeda, qualidade, material, diametro, detalhe, anverso, reverso, 
Brasil, 1989, C 198, 1, CRUZADO NOVO, B, PAPEL, 154X74, B0947075566A, MACHADO DE ASSIS, RUA PRIMEIRO DE MARCO, 10
Brasil, 1989, C 200, 5000, CRUZADO, FE, PAPEL, 154X74, A2353067580A CARIMBADA 5 CRUZADO NOVO, CANDIDO PORTINARI, DESENHANDO BAIANAS, 10
Brasil, 1989, C 202, 10000, CRUZADO NOVO, SOB FE, PAPEL, 153X72, A3105084347A CARIMBADA 10 CRUZADO, CARLOS CHAGAS, LABORATORIO, 15
Brasil, 1989, C 204, 50, CRUZADO NOVO, UTG, PAPEL, 139X53, A1977086783A, CARLOS DRUMMOND ANDRADE, , 1
Brasil, 1989, C 208, 200, CRUZADO NOVO, UTG, PAPEL, 140X65, A0313013601A, EFIGIE DA REPUBLICA, PATRIA, 0
Brasil, 1989, C 201, 5000, CRUZADO, SOB, PAPEL, 154X74, SERIE A3684005082A, CANDIDO PORTINARI, DESENHANDO BAIANAS, 10
Brasil, 1989, C 206, 100, CRUZADO NOVO, SOB, PAPEL, 140X65, SERIE A2355069919A, CECILIA MEIRELES, CRIANCA, 10
Brasil, 1990, C 203, 10, CRUZADO NOVO, FE, PAPEL, 153X72, A4489096644A, CARLOS CHAGAS, MEDICO TRABALHANDO, 30
Brasil, 1990, C 207, 100, CRUZADO NOVO, B, PAPEL, 139X64, A7284016140A, CECILIA MEIRELES, CRIANCA, 6
Brasil, 1990, C 209, 500, CRUZADO NOVO, B, PAPEL, 139X53, A1148097472A, AUGUSTO RUSCHI, , 2
Brasil, 1990, C 210, 50, CRUZEIRO, FE, PAPEL, 139X53, A4105081226A CARIMBADA 50 CRUZADO NOVO, CARLOS DRUMMOND ANDRADE, , 15
Brasil, 1990, C 213, 500, CRUZEIRO, UTG, PAPEL, 139X53, A65390099592A CARIMBADA DE 500 CRUZADO NOVO, AUGUSTO RUSCHI, , 0
Brasil, 1990, C 214, 100, CRUZEIRO, B, PAPEL, 139X64, A0022036370A, CECILIA MEIRELES, , 1
Brasil, 1990, C 215, 200, CRUZEIRO, FE, PAPEL, 139X64, A1435047208A, EFIGIE DA REPUBLICA, PATRIA, 8
Brasil, 1990, C 217, 1000, CRUZEIRO, FE, PAPEL, 140X65, A3854079491A, CANDIDO RONDON, 2 INDIOS, 12
