pais,ano,krause,valor,moeda,tipo,qualidade,material,diametro,detalhe,anverso,reverso,datacadastro; 
Brasil,1869,474,20,REIS,Moeda,,BRONZE,25.39MM,,IMPERADOR PEDRO II - FURADA,,15 de jun de 2018; 
Brasil,1871,477,100,REIS,Moeda,MBC,COBRE NIQUEL,27MM,,,,15 de jun de 2018; 
Brasil,1889,493,200,REIS,Moeda,MBC,COBRE NICKEL,32.1MM,,VALOR,,4 de out de 2018; 
Brasil,1893,492,100,REIS,Moeda,B,CUPRO NICKEL,27.15MM,,ORDEM E PROGRESSO,CRUZEIRO DO SUL,15 de jun de 2018; 
Brasil,1897,493,200,REIS,Moeda,MBC,COBRE NIQUEL,32.1 MM,,,,13 de ago de 2018; 
Brasil,1900,491,40,REIS,Moeda,,BRONZE,30MM,,ECONOMIA TRAS A PROSPERIDADE,,15 de jun de 2018; 
Brasil,1901,503,100,REIS,Moeda,,COBRE NICKEL,20.96MM,,MCMI,FIGURA FEMININA ,15 de jun de 2018; 
Brasil,1901,504,200,REIS,Moeda,,COBRE NICKEL,25MM,,MCMI,FIGURA FEMININA ,15 de jun de 2018; 
Brasil,1901,505,400,REIS,Moeda,,COBRE NICKEL,30MM,,MCMI,FIGURA FEMININA ,15 de jun de 2018; 
Brasil,1907,508,2000,REIS,Moeda,MBC,PRATA,32.5MM,,XX GRAMMAS PRATA,,15 de jun de 2018; 
Brasil,1918,520,400,REIS,Moeda,,COBRE NICKEL,30.2MM,,,FIGURA FEMININA ,15 de jun de 2018; 
Brasil,1922,519,200,REIS,Moeda,,COBRE NICKEL,25MM,,,FIGURA FEMININA ,15 de jun de 2018; 
Brasil,1922,522.1,1000,REIS,Moeda,,ALUMINIO BRONZE,26.8MM,,CENTENARIO DA INDEPENDENCIA - BRONZE ALUMINIO,,15 de jun de 2018; 
Brasil,1922,521,500,REIS,Moeda,B,ALUMINIO BRONZE,22.7MM,CENTENARIO INDEPENDENCIA DO BRASIL,,,4 de out de 2018; 
Brasil,1924,525,1000,REIS,Moeda,,ALUMINIO BRONZE,26.8MM,,,MULHER AJOELHADA NA TERRA,15 de jun de 2018; 
Brasil,1924,519,200,REIS,Moeda,BC,CUPRO NICKEL,25MM,,,,15 de jun de 2018; 
Brasil,1925,518,100,REIS,Moeda,,COBRE NICKEL,21.3MM,,,FIGURA FEMININA ,15 de jun de 2018; 
Brasil,1925,525,1000,REIS,Moeda,,ALUMINIO BRONZE,26.8MM,,,MULHER AJOELHADA NA TERRA,15 de jun de 2018; 
